post_id,published_at_utc,author_handle,canonical_url,english_text,chinese_translation,translation_notes,is_text_truncated
1968163721034994139,2025-09-17T04:02:52.465Z,thsottiaux,https://x.com/thsottiaux/status/1968163721034994139,"We have reset everyone's limits for gpt-5-codex to allow you all to benefit more from it today and as a way to make up for the slowdowns earlier while we were provisioning additional GPUs. We'll continue to add capacity throughout the week to maintain the speed. Enjoy!","我们已经重置了所有人的 GPT-5-Codex 使用限额，让大家今天能更多地使用它，同时补偿此前在增配 GPU 期间出现的速度下降。我们会在本周继续增加容量以维持速度。尽情使用吧！","everyone 按原文译为所有人，实际资格范围仍需核对。",0
1983973493864894739,2025-10-30T19:05:16.039Z,thsottiaux,https://x.com/thsottiaux/status/1983973493864894739,"Lots of you asked for a $100 plan for Codex, but we think our new credits approach might be better and you can now get more out of Codex based on what you actually need.","很多人希望 Codex 推出 100 美元套餐，但我们认为新的 credits 方案可能更好。现在你可以根据自己的实际需要，从 Codex 获得更多用量。","credits 保留英文，避免误译成 reset；原文没有宣布重置。",0
1986166501435711936,2025-11-05T20:19:29.788Z,thsottiaux,https://x.com/thsottiaux/status/1986166501435711936,"Codex outage resolved. We suffered a minor outage for last 45 minutes which turned into a global outage for last 30 minutes, this is now resolved and we have reset the rate limits. Please let me know if you still see issues.","Codex 故障已经解决。过去 45 分钟发生了一次小型故障，其中后 30 分钟演变成全球性故障。现在问题已经解决，我们也重置了速率限制。如果你仍遇到问题，请告诉我。","rate limits 译为速率限制/使用限额。",0
1986863197803192782,2025-11-07T18:27:55.146Z,thsottiaux,https://x.com/thsottiaux/status/1986863197803192782,"We gave gpt-5-codex a small sibling, you can now try gpt-5-codex-mini in Codex. Smaller, so up to 4X more usage included. Also increased usage limits by 50% for Plus, Edu and Team plans and gave Pro priority processing for a faster experience.","我们给 GPT-5-Codex 增加了一个小兄弟：现在可以在 Codex 中尝试 GPT-5-Codex-Mini。模型更小，因此包含的用量最高可达 4 倍。我们还将 Plus、Edu 和 Team 套餐的使用限额提高了 50%，并为 Pro 提供优先处理以获得更快体验。","这是限额提升，不是 reset。",0
1992370994028388670,2025-11-22T23:13:56.096Z,thsottiaux,https://x.com/thsottiaux/status/1992370994028388670,"We have reset rate limits for all Codex users to compensate for the unusual high latencies in or near the US in the previous hours. Grateful for the team working hard behind the scenes to keep Codex running 24/7. I do recommend trying out GPT-5.1-Codex-Max too if you haven’t!","我们已经为所有 Codex 用户重置了速率限制，以补偿此前数小时美国境内或附近地区出现的异常高延迟。感谢团队在幕后辛勤工作，让 Codex 全天候运行。如果你还没试过，我也推荐尝试 GPT-5.1-Codex-Max！","所有用户的实际计划范围需核对。",0
1995988609896513743,2025-12-02T22:49:02.931Z,thsottiaux,https://x.com/thsottiaux/status/1995988609896513743,"We have reset the usage limits for everyone in Codex, which helps us mitigate the issue the fastest and the team will continue to work on the underlying cause. This should propagate to all users over the next 10 mins, enjoy and apologies for the confusion!","我们已经重置了 Codex 中所有人的使用限额，这是最快缓解问题的方法；团队会继续处理底层原因。重置应在接下来 10 分钟内传播到所有用户。尽情使用，也为造成的困惑致歉！","propagate 表示后台逐步生效。",0
2001114683047317723,2025-12-17T02:18:14.008Z,thsottiaux,https://x.com/thsottiaux/status/2001114683047317723,"Didn’t need to do this in a while, but you know the drill. We have reset everyone’s usage limits, enjoy more Codex and apologies for the disruption.","有一阵子没需要这样做了，不过大家都知道流程。我们已经重置了所有人的使用限额，请继续享用更多 Codex，也为此次中断致歉。","原文没有具体说明故障。",0
2002137269134819610,2025-12-19T22:01:37.530Z,thsottiaux,https://x.com/thsottiaux/status/2002137269134819610,"We rewrote the underlying system to track and bill usage in Codex and we have reset usage limits in the process. Backfilling is time consuming and it’s more fun to give free usage. Enjoy!","我们重写了 Codex 中用于追踪和计费用量的底层系统，并在此过程中重置了使用限额。回填历史数据很耗时，赠送免费用量更有趣。尽情使用吧！","bill usage 指用量计费，不一定是直接收费。",0
2004100061933064395,2025-12-25T08:01:03.800Z,thsottiaux,https://x.com/thsottiaux/status/2004100061933064395,"For Codex users, to thank you all for the fun we've had over the last months, our first gift is that we have reset rate limits and are lifting the usage limits to 2X the usual limits until the 1st of Jan. Wish you all a merry holiday and lots of coding!","送给 Codex 用户的第一份礼物：为了感谢大家过去几个月共同创造的乐趣，我们已经重置速率限制，并将使用限额提高到通常的 2 倍，持续到 1 月 1 日。祝大家节日快乐，多多写代码！","同帖包含 hard reset 和临时 2X 两种动作。",0
2028649088594436225,2026-03-03T01:50:07.855Z,thsottiaux,https://x.com/thsottiaux/status/2028649088594436225,"Codex is back up. We introduced an issue that caused requests to be blocked and rejected as high cyber risk. This was fixed in about 8 mins and we are now back online and fully operational. Team will reset rate limits, that’s been a while. Enjoy one on us.","Codex 已经恢复。我们引入了一个问题，导致请求因被判定为高网络安全风险而遭到阻止和拒绝。问题约 8 分钟内修复，现在已经重新上线并完全正常运行。团队会重置速率限制，确实有段时间没这样做了。这次算我们送的。","will reset 表示明确未来承诺。",0
